vtmId,dose,unit,vmpId
41193000,400,mg,39693811000001100
41193000,800,mg,324744007
41193000,800,mg,39693911000001105
41493007,10,mg,317109009
41493007,20,mg,317108001
42082003,125,mg,324334008
42082003,250,mg,324335009
42348003,10,mg,376832004
42444000,25,mg,12425811000001103
42444000,50,mg,321347002
42444000,100,mg,321357001
42720001,1.2,g,36036011000001108
43684009,25,microgram,39418111000001100
43684009,100,microgram,374245006
43684009,200,microgram,317288008
43684009,200,microgram,28395211000001108
43684009,400,microgram,23417711000001104
43753001,10,mg,325589004
44658005,25,mg,321498009
44658005,50,mg,321499001
44790008,250,mg,322906007
44798001,3,mg,326121004
44990002,5,mg,323256002
45218006,1,mg,39688911000001101
45311002,5,mg,320203000
45311002,7.5,mg,35916411000001104
45680002,600,mg,32868711000001103
45844004,500,mg,317431008
45844004,500,mg,330040008
46009007,2,mg,326729009
46009007,5,mg,4651711000001101
46123006,1,g,7722211000001103
46123006,1,g,11611611000001107
46123006,1,g,11787211000001107
46123006,1,g,28880911000001105
46123006,1.5,g,28880811000001100
46123006,50,mg,329315005
46123006,60,mg,7968911000001109
46123006,100,mg,329316006
46123006,100,mg,7640611000001109
46123006,100,mg,11787111000001101
46123006,120,mg,10140711000001108
46123006,200,mg,329317002
46123006,250,mg,19524711000001106
46123006,300,mg,9564311000001103
46123006,500,mg,329318007
46123006,500,mg,4245011000001101
46123006,500,mg,4245111000001100
46123006,500,mg,7596511000001105
46123006,500,mg,7722311000001106
46123006,500,mg,32875511000001105
46123006,550,mg,7719511000001100
46547007,50,mg,318458004
46547007,100,mg,318445000
46547007,200,mg,318446004
46547007,400,mg,318447008
46576005,50,mg,318276009
46576005,100,mg,318277000
46576005,200,mg,11169611000001105
47120002,50,mg,375136008
47120002,50,mg,8800311000001105
47120002,250,mg,322948000
47124006,250,mg,327300003
47331002,10,mg,321365003
47331002,10,mg,20176811000001101
47331002,25,mg,321366002
47331002,50,mg,321367006
47331002,100,mg,321368001
47527007,10,mg,319745009
47527007,25,mg,319746005
47527007,50,mg,319747001
47602007,500,mg,324578003
47898004,40,mg,318204006
47898004,80,mg,318205007
47898004,120,mg,318206008
47898004,120,mg,35367911000001103
47898004,120,mg,36565011000001105
47898004,160,mg,318248001
47898004,180,mg,36149411000001103
47898004,240,mg,38750211000001107
47898004,240,mg,39021011000001106
48174005,75,mg,354011009
48174005,150,mg,317238000
48174005,150,mg,317249006
48174005,300,mg,317239008
48174005,300,mg,317251005
48174005,400,mg,317315001
48351000,100,mg,329854004
48351000,100,mg,347249002
48351000,200,mg,329855003
48546005,2,mg,321196004
48546005,5,mg,321197008
48546005,10,mg,321198003
48603004,1,mg,319733000
48603004,1,mg,32751111000001103
48603004,3,mg,319734006
48603004,3,mg,32751211000001109
48603004,4,mg,375374009
48603004,5,mg,319735007
48603004,5,mg,32751311000001101
48603004,500,microgram,319736008
49299006,5,mg,376650009
49299006,10,mg,376651008
49485009,400,mg,324621002
49577002,2.5,mg,318655008
49577002,5,mg,318656009
49577002,10,mg,318657000
50318003,100,mg,11763511000001102
50318003,200,mg,11763611000001103
